Country,Very worried,Somewhat worried,Not very worried,Not at all worried,Refused
Albania,41.84236649,39.83775082,9.840717593,6.034527396,2.444637703
Algeria,34.57483201,31.35278692,14.54998809,16.93246713,2.589925846
Angola,54.72381844,19.44168584,14.93369377,7.291281041,3.609520915
Argentina,50.37829477,34.21639494,9.10025939,5.244613123,1.060437772
Armenia,35.56072209,37.1443156,16.89008601,10.2604443,0.144432005
Australia,33.64038605,39.35104309,17.70284661,9.17793305,0.127791201
Austria,37.326637,41.99823719,15.66137945,4.641711529,0.372034843
Azerbaijan,37.32428946,39.20238209,11.03142317,11.83533318,0.60657211
Bangladesh,45.85925415,26.81956472,15.41528161,6.595289915,5.310609601
Belgium,25.87734055,43.85704774,24.45369871,5.811912993,
Benin,61.82097862,13.19311534,8.700586055,13.49979088,2.785529104
Bolivia (Plurinational State of),65.98660331,23.00187085,6.59343385,2.895139111,1.522952879
Bosnia and Herzegovina,31.16309133,43.04100905,18.55183756,6.898914646,0.345147422
Botswana,60.71420493,16.26283667,12.66591278,9.199465358,1.157580259
Brazil,59.15508959,25.67042391,10.66537753,3.729792463,0.779316506
Bulgaria,24.54310034,52.39312679,15.22094877,7.638624239,0.204199867
Burkina Faso,68.08424277,15.48575056,6.664468553,5.888865779,3.87667234
Cambodia,61.45050608,21.65697591,6.35727928,7.521191786,3.014046945
Cameroon,54.53554068,16.42933603,14.15675042,11.8464675,3.031905375
Canada,32.97010975,43.02569375,16.13896624,7.824935716,0.040294548
Chile,69.0156141,23.6667448,5.123359306,1.939827325,0.254454465
Colombia,66.83028978,23.75083184,6.010428588,2.240995691,1.167454099
Congo (Democratic Republic of the),49.96914943,14.41655649,12.16903753,17.9325429,5.512713657
Costa Rica,63.91252269,27.71055004,5.597549772,2.322635919,0.456741576
Cote d'Ivoire,68.00511015,14.2310119,8.129592048,7.153370356,2.480915541
Croatia,39.83766718,41.63480422,12.03484872,6.178958111,0.313721761
Cyprus,35.58530532,37.51896349,15.88413112,9.580627983,1.430972084
Czechia,13.26369615,49.77771619,25.57317644,11.07157718,0.313834048
Denmark,20.7452009,50.99180189,23.74112554,4.405407796,0.116463876
Dominican Republic,55.08899946,27.86481772,10.5286427,5.767187074,0.750353045
Ecuador,61.844609,29.14000286,6.21310424,2.555364282,0.246919613
Egypt,21.64343954,35.75910144,17.54129604,22.45132068,2.604842304
El Salvador,60.04450527,28.34908194,6.756939522,3.501564526,1.347908742
Finland,24.9542378,45.17861626,19.35175283,10.47771776,0.037675351
France,45.63188815,39.85403252,9.267593374,5.118109144,0.128376814
Germany,34.99500429,40.61487626,16.68838931,7.512472389,0.189257746
Ghana,51.85024052,17.67979035,14.32567161,14.39123113,1.753066395
Greece,56.10949056,30.07865826,8.780156333,4.950410588,0.081284259
