Country,Pollutant,Year,Unit,Value
Australia,Greenhouse gases,1990,Tonnes of CO2 equivalent,425624.307
Australia,Greenhouse gases,1991,Tonnes of CO2 equivalent,425686.445
Australia,Greenhouse gases,1992,Tonnes of CO2 equivalent,429473.085
Australia,Greenhouse gases,1993,Tonnes of CO2 equivalent,430381.731
Australia,Greenhouse gases,1994,Tonnes of CO2 equivalent,430848.498
Australia,Greenhouse gases,1995,Tonnes of CO2 equivalent,439269.878
Australia,Greenhouse gases,1996,Tonnes of CO2 equivalent,445847.225
Australia,Greenhouse gases,1997,Tonnes of CO2 equivalent,457864.51
Australia,Greenhouse gases,1998,Tonnes of CO2 equivalent,472145.832
Australia,Greenhouse gases,1999,Tonnes of CO2 equivalent,478136.875
Australia,Greenhouse gases,2000,Tonnes of CO2 equivalent,489528.649
Australia,Greenhouse gases,2001,Tonnes of CO2 equivalent,497352.025
Australia,Greenhouse gases,2002,Tonnes of CO2 equivalent,501000.843
Australia,Greenhouse gases,2003,Tonnes of CO2 equivalent,501128.976
Australia,Greenhouse gases,2004,Tonnes of CO2 equivalent,518408.438
Australia,Greenhouse gases,2005,Tonnes of CO2 equivalent,524811.845
Australia,Greenhouse gases,2006,Tonnes of CO2 equivalent,529240.641
Australia,Greenhouse gases,2007,Tonnes of CO2 equivalent,535807.552
Australia,Greenhouse gases,2008,Tonnes of CO2 equivalent,538590.714
Australia,Greenhouse gases,2009,Tonnes of CO2 equivalent,541475.792
Australia,Greenhouse gases,2010,Tonnes of CO2 equivalent,536893.738
Australia,Greenhouse gases,2011,Tonnes of CO2 equivalent,538663.878
Australia,Greenhouse gases,2012,Tonnes of CO2 equivalent,541899.74
Australia,Greenhouse gases,2013,Tonnes of CO2 equivalent,532267.335
Australia,Greenhouse gases,2014,Tonnes of CO2 equivalent,526711.78
Australia,Greenhouse gases,2015,Tonnes of CO2 equivalent,534936.017
Australia,Greenhouse gases,2016,Tonnes of CO2 equivalent,543976.812
Australia,Greenhouse gases,2017,Tonnes of CO2 equivalent,550874.868
Australia,Greenhouse gases,2018,Tonnes of CO2 equivalent,552484.025
Australia,Greenhouse gases,2019,Tonnes of CO2 equivalent,546200.224
Australia,Greenhouse gases,2020,Tonnes of CO2 equivalent,527737.048
Australia,Greenhouse gases,1990,Index,100
Australia,Greenhouse gases,1991,Index,100.015
Australia,Greenhouse gases,1992,Index,100.904
Australia,Greenhouse gases,1993,Index,101.118
Australia,Greenhouse gases,1994,Index,101.227
Australia,Greenhouse gases,1995,Index,103.206
Australia,Greenhouse gases,1996,Index,104.751
Australia,Greenhouse gases,1997,Index,107.575
Australia,Greenhouse gases,1998,Index,110.93
Australia,Greenhouse gases,1999,Index,112.338
Australia,Greenhouse gases,2000,Index,115.014
Australia,Greenhouse gases,2001,Index,116.852
Australia,Greenhouse gases,2002,Index,117.71
Australia,Greenhouse gases,2003,Index,117.74
Australia,Greenhouse gases,2004,Index,121.8
Australia,Greenhouse gases,2005,Index,123.304
Australia,Greenhouse gases,2006,Index,124.345
Australia,Greenhouse gases,2007,Index,125.887
Australia,Greenhouse gases,2008,Index,126.541
Australia,Greenhouse gases,2009,Index,127.219
Australia,Greenhouse gases,2010,Index,126.143
Australia,Greenhouse gases,2011,Index,126.559
Australia,Greenhouse gases,2012,Index,127.319
Australia,Greenhouse gases,2013,Index,125.056
Australia,Greenhouse gases,2014,Index,123.75
Australia,Greenhouse gases,2015,Index,125.683
Australia,Greenhouse gases,2016,Index,127.807
Australia,Greenhouse gases,2017,Index,129.427
Australia,Greenhouse gases,2018,Index,129.806
Australia,Greenhouse gases,2019,Index,128.329
Australia,Greenhouse gases,2020,Index,123.991
Australia,Greenhouse gases,1990,Kilograms per capita,24.941
Australia,Greenhouse gases,1991,Kilograms per capita,24.629
Australia,Greenhouse gases,1992,Kilograms per capita,24.571
Australia,Greenhouse gases,1993,Kilograms per capita,24.405
Australia,Greenhouse gases,1994,Kilograms per capita,24.198
Australia,Greenhouse gases,1995,Kilograms per capita,24.397
Australia,Greenhouse gases,1996,Kilograms per capita,24.464
Australia,Greenhouse gases,1997,Kilograms per capita,24.853
