Country,Very high,High,Medium,Low,Refused
Albania,32.91630162,32.70376177,23.36798885,9.439656225,1.572291539
Algeria,30.22829071,25.37764215,28.97555495,12.08925395,3.329258243
Angola,39.58207575,32.39498331,19.67317589,6.040522309,2.309242736
Argentina,47.9483065,34.08763095,11.66159232,5.719393938,0.583076294
Armenia,22.45072921,27.97306044,40.40474106,7.172213588,1.999255701
Australia,46.35129489,24.64251316,17.24045658,11.38911591,0.376619453
Austria,32.28899031,37.71213928,22.70677291,6.788485011,0.503612489
Azerbaijan,22.44495514,34.84525943,25.52793956,15.11349293,2.068352941
Bangladesh,45.98364224,25.73565409,19.16166327,8.001621981,1.117418422
Belgium,33.57384083,35.81393967,23.69586706,6.646609203,0.26974324
Benin,39.75118382,20.38988462,20.83057602,14.57106141,4.457294124
Bolivia (Plurinational State of),51.44567856,29.274585,13.14499795,4.791197045,1.343541445
Bosnia and Herzegovina,25.708411,36.60921993,27.13892385,8.480623025,2.062822189
Botswana,38.92533667,26.6980164,22.85639502,10.60360659,0.916645309
Brazil,52.33560774,24.85298338,16.26493859,4.931635568,1.614834734
Bulgaria,27.59406719,38.90403051,22.63463564,8.705804233,2.161462431
Burkina Faso,41.60608057,32.00567716,18.73834045,3.456891272,4.193010547
Cambodia,35.10913483,30.0855207,26.79468548,5.796116311,2.214542667
Cameroon,29.14371563,30.6163077,25.05244596,11.25556653,3.931964175
Canada,38.59939843,31.06421005,17.92403553,12.03589432,0.37646166
Chile,66.89865667,24.26096207,5.918450372,2.312764426,0.609166464
Colombia,59.628781,23.84557901,9.851253115,4.890494723,1.783892154
Congo (Democratic Republic of the),34.48955553,28.92620196,23.22059982,12.24879474,1.114847947
Costa Rica,58.87265548,28.16982451,8.054525651,3.695395435,1.207598928
Cote d'Ivoire,41.45027982,32.21241942,18.19508487,6.532944136,1.609271751
Croatia,35.80477411,36.65233407,20.29423247,6.236079133,1.012580219
Cyprus,39.16895873,32.66041199,17.07007179,10.98165281,0.118904689
Czechia,16.76032026,35.8122359,35.74333577,11.49381163,0.190296431
Denmark,32.95962017,37.26907705,23.96711077,5.684636557,0.119555458
Dominican Republic,45.42253123,28.4181438,16.19521762,7.084091647,2.880015709
Ecuador,51.35294876,28.01005835,14.63789546,4.511175023,1.487922411
Egypt,27.73531357,23.11948269,32.59959131,11.97024363,4.575368797
El Salvador,59.32691678,24.41518288,8.206567282,5.947772894,2.10356016
Finland,29.10622482,27.68904221,22.13479182,20.41374779,0.656193371
France,41.707417,36.94434283,16.80030959,4.244347919,0.303582651
Germany,28.65609512,35.49446688,23.80403562,11.59511584,0.450286538
Ghana,41.73644659,20.03695304,18.16647021,17.87051513,2.189615026
Greece,30.69268575,48.22832981,13.41130728,6.814557438,0.853119721
Guatemala,49.47168229,25.80669492,16.12390355,5.857316723,2.740402515
Haiti,46.15220014,13.67220339,18.53339827,17.4068205,4.235377697
Honduras,56.23102255,20.31940169,13.75211621,6.95628019,2.741179359
Hong Kong,15.01263675,34.30636442,30.02225301,20.33737188,0.321373947
Hungary,34.46062532,43.55908391,18.3450388,3.056009588,0.579242387
India,44.1811875,24.17509368,22.24180789,7.435127956,1.966782977
Indonesia,23.53889856,30.23251455,34.63735616,9.045162133,2.546068602
Iraq,22.80026151,26.4108115,32.63702192,15.49255079,2.659354284
Ireland,37.97120707,34.81045263,17.64909662,9.193786696,0.375456983
Israel,33.32531373,35.50363422,20.50174719,9.049541666,1.619763193
Italy,43.93494273,39.07974139,12.34193028,4.008135466,0.635250134
Jamaica,50.5914773,23.57522519,15.07157718,9.145399013,1.616321316
Japan,17.15594623,34.55443443,29.78685998,18.48456683,0.018192538
Jordan,23.73384935,25.65890041,33.56437255,12.53698266,4.505895033
Kenya,47.01851204,24.54476045,20.18947434,6.707029641,1.540223534
Kosovo,33.48045852,13.84316608,36.33778446,15.88755598,0.451034964
Kuwait,28.77227674,22.66591949,28.7912216,12.58224247,7.188339702
Lao People's Democratic Republic,28.7426336,30.15172347,34.3649373,4.887956151,1.852749485
Lebanon,29.11619942,25.13177948,28.10949669,15.43536796,2.207156452
Libya,26.58564334,21.89848324,32.26187863,15.23796357,4.016031227
Lithuania,21.00383317,40.36743811,29.8125705,7.980534864,0.835623356
Malawi,55.14478222,20.28570739,11.64702838,10.70628607,2.216195939
Malaysia,25.39205407,31.89433171,28.95850796,12.71727216,1.037834108
Mexico,59.79359289,28.46439619,8.333030312,2.621729954,0.78725065
Morocco,37.11172329,29.20545811,20.88077256,7.971879948,4.830166086
Mozambique,40.0286496,20.94867897,27.7495388,10.34534772,0.927784909
Nepal,37.07757128,20.02442161,29.24482568,11.9360274,1.71715402
Netherlands,26.13022059,35.08695457,26.90736342,11.33659511,0.538866308
New Zealand,35.76367281,30.86684709,23.28451149,9.594654298,0.490314313
Nicaragua,57.97977868,20.92697708,13.5114266,5.798312419,1.783505217
Nigeria,34.32103146,26.80730086,26.52511406,9.369909651,2.976643969
North MAcedonia,32.86067703,28.66619886,28.36648599,8.448057424,1.658580692
