Country,A great deal,A moderate amount,Only a little,Not at all,Don't know,Refused
Albania,45.75751043,17.17928041,6.150746385,4.862311799,17.45746939,8.592681592
Algeria,39.95680322,13.86780332,6.326237739,4.863411675,24.42362099,10.56212306
Angola,54.8147484,13.53800689,6.792997665,1.677453466,16.21092201,6.965871568
Argentina,70.72252019,9.498441743,4.899951779,2.553328512,9.480526235,2.845231543
Armenia,32.75206241,28.13406964,14.03592142,3.876198063,18.8296361,2.372112365
Australia,60.41157198,16.95038052,8.293786828,6.276089739,7.009863545,1.058307383
Austria,67.33185582,14.76485475,8.113832759,2.150467674,6.1377304,1.501258598
Azerbaijan,45.15792599,22.45966832,6.826391367,2.426516197,19.90773808,3.221760039
Bangladesh,54.56374485,18.6266644,3.969021892,3.895010282,14.8419335,4.10362508
Belgium,53.51605521,27.81481815,8.009900555,1.951040451,7.42885417,1.279331461
Benin,51.05148358,9.777347184,6.318460212,6.675836685,21.95762822,4.219244118
Bolivia (Plurinational State of),73.28806065,8.103541652,4.361438524,2.375391134,7.623170296,4.24839774
Bosnia and Herzegovina,62.38372011,10.83863541,3.823463187,3.48601615,16.40291708,3.065248057
Botswana,56.42119295,13.91700681,8.409073017,1.606259063,12.23955597,7.406912193
Brazil,75.72068544,8.514696552,4.199401071,1.498915994,4.284488557,5.781812382
Bulgaria,57.84788116,17.7149717,5.041027993,2.388875665,13.37052604,3.636717444
Burkina Faso,51.52958546,10.8490073,3.223346851,4.188550613,16.0612084,14.14830138
Cambodia,55.57976508,14.15519771,7.397420625,2.534286263,12.10342087,8.229909456
Cameroon,45.91163534,14.09652076,4.693802457,1.494214528,20.49050233,13.31332458
Canada,62.19490405,18.63472709,7.799298343,4.734374318,5.611580186,1.025116006
Chile,80.44573729,6.164140721,2.157626574,0.538425078,6.807133882,3.88693645
Colombia,73.61385081,9.029870472,3.840604915,1.103268314,6.196517252,6.215888236
Congo (Democratic Republic of the),46.47019945,13.01669989,6.332311383,8.408454466,19.55206255,6.220272259
Costa Rica,79.76691077,7.109137578,3.935561399,1.290750749,3.325231013,4.572408495
Cote d'Ivoire,58.82798439,8.78459149,4.568662533,2.68522448,14.69214692,10.44139019
Croatia,66.15513337,16.38322071,3.148026369,1.743301434,9.608753673,2.961564444
