Country,Year,TemperatureChange
Afghanistan,1961,-0.126
Afghanistan,1962,-0.173
Afghanistan,1963,0.844
Afghanistan,1964,-0.751
Afghanistan,1965,-0.22
Afghanistan,1966,0.239
Afghanistan,1967,-0.348
Afghanistan,1968,-0.398
Afghanistan,1969,-0.513
Afghanistan,1970,0.843
Afghanistan,1971,0.642
Afghanistan,1972,-1.095
Afghanistan,1973,0.264
Afghanistan,1974,-0.466
Afghanistan,1975,-0.442
Afghanistan,1976,-0.291
Afghanistan,1977,0.544
Afghanistan,1978,0.12
Afghanistan,1979,0.38
Afghanistan,1980,0.655
Afghanistan,1981,0.558
Afghanistan,1982,-0.286
Afghanistan,1983,0.24
Afghanistan,1984,0.252
Afghanistan,1985,0.397
Afghanistan,1986,-0.015
Afghanistan,1987,0.493
Afghanistan,1988,1.035
Afghanistan,1989,0.015
Afghanistan,1990,0.925
Afghanistan,1991,-0.051
Afghanistan,1992,-0.212
Afghanistan,1993,0.254
Afghanistan,1994,0.546
Afghanistan,1995,0.457
Afghanistan,1996,-0.093
Afghanistan,1997,0.46
Afghanistan,1998,0.664
Afghanistan,1999,1.271
Afghanistan,2000,1.064
Afghanistan,2001,1.377
Afghanistan,2002,1.457
Afghanistan,2003,0.71
Afghanistan,2004,1.482
Afghanistan,2005,0.513
Afghanistan,2006,1.838
Afghanistan,2007,0.794
Afghanistan,2008,0.808
Afghanistan,2009,0.948
Afghanistan,2010,1.664
Afghanistan,2011,1.455
Afghanistan,2012,0.271
Afghanistan,2013,1.345
Afghanistan,2014,0.521
Afghanistan,2015,1.204
Afghanistan,2016,1.612
Afghanistan,2017,1.642
Afghanistan,2018,1.624
Afghanistan,2019,0.991
Afghanistan,2020,0.587
Afghanistan,2021,1.475
Afghanistan,2022,2.154
Afghanistan,2023,1.956
Africa,1961,-0.017
Africa,1962,-0.036
Africa,1963,0.063
Africa,1964,-0.156
Africa,1965,-0.201
Africa,1966,0.138
Africa,1967,-0.215
Africa,1968,-0.221
Africa,1969,0.355
Africa,1970,0.22
Africa,1971,-0.198
Africa,1972,0.001
Africa,1973,0.377
Africa,1974,-0.232
Africa,1975,-0.231
Africa,1976,-0.252
Africa,1977,0.24
Africa,1978,0.09
Africa,1979,0.445
Africa,1980,0.376
Africa,1981,0.109
Africa,1982,0.222
Africa,1983,0.418
Africa,1984,0.348
Africa,1985,0.307
Africa,1986,0.295
Africa,1987,0.685
Africa,1988,0.618
Africa,1989,0
Africa,1990,0.568
Africa,1991,0.375
Africa,1992,0.092
Africa,1993,0.373
Africa,1994,0.393
Africa,1995,0.549
Africa,1996,0.515
Africa,1997,0.581
Africa,1998,0.949
Africa,1999,0.622
Africa,2000,0.458
Africa,2001,0.66
Africa,2002,0.886
Africa,2003,1.002
Africa,2004,0.814
Africa,2005,1.081
Africa,2006,0.925
Africa,2007,0.793
Africa,2008,0.724
Africa,2009,0.96
Africa,2010,1.501
Africa,2011,0.913
Africa,2012,0.76
Africa,2013,1.021
Africa,2014,1.013
Africa,2015,1.19
Africa,2016,1.392
Africa,2017,1.18
Africa,2018,1.178
Africa,2019,1.297
Africa,2020,1.2
Africa,2021,1.396
Africa,2022,0.996
Africa,2023,1.485
Albania,1961,0.635
Albania,1962,0.342
Albania,1963,0.086
Albania,1964,-0.169
Albania,1965,-0.39
Albania,1966,0.553
Albania,1967,-0.082
Albania,1968,0.062
Albania,1969,-0.036
Albania,1970,-0.137
Albania,1971,-0.205
Albania,1972,-0.081
Albania,1973,-0.294
Albania,1974,-0.128
Albania,1975,-0.203
Albania,1976,-0.677
Albania,1977,0.53
Albania,1978,-0.825
Albania,1979,0.191
Albania,1980,-0.422
Albania,1981,-0.346
Albania,1982,0.207
Albania,1983,-0.088
Albania,1984,-0.238
Albania,1985,-0.072
Albania,1986,0.6
Albania,1987,-0.078
Albania,1988,0.397
Albania,1989,-0.041
Albania,1990,0.809
Albania,1991,-0.28
Albania,1992,0.106
Albania,1993,0.113
Albania,1994,1.36
Albania,1995,-0.137
Albania,1996,0.006
Albania,1997,0.111
Albania,1998,0.821
Albania,1999,0.724
Albania,2000,1.084
Albania,2001,1.551
Albania,2002,0.519
Albania,2003,1.026
Albania,2004,0.472
Albania,2005,0.217
Albania,2006,0.39
Albania,2007,1.389
Albania,2008,1.043
Albania,2009,0.977
Albania,2010,1.261
Albania,2011,1.125
Albania,2012,1.546
Albania,2013,1.394
Albania,2014,1.285
Albania,2015,1.667
Albania,2016,1.558
Albania,2017,1.196
Albania,2018,2.103
Albania,2019,1.751
Albania,2020,1.567
Albania,2021,1.589
Albania,2022,1.585
Albania,2023,2.122
Algeria,1961,0.155
Algeria,1962,0.12
Algeria,1963,0.05
Algeria,1964,0.254
Algeria,1965,-0.111
Algeria,1966,0.405
Algeria,1967,-0.024
Algeria,1968,-0.065
Algeria,1969,0.247
Algeria,1970,0.08
Algeria,1971,-0.412
Algeria,1972,-0.36
Algeria,1973,-0.023
Algeria,1974,-0.506
Algeria,1975,-0.569
Algeria,1976,-0.799
Algeria,1977,0.55
Algeria,1978,0.06
Algeria,1979,0.706
Algeria,1980,0.266
Algeria,1981,0.249
Algeria,1982,0.421
Algeria,1983,0.617
Algeria,1984,0.054
Algeria,1985,0.552
Algeria,1986,0.347
Algeria,1987,1.05
Algeria,1988,1.402
Algeria,1989,0.453
Algeria,1990,1.332
Algeria,1991,0.102
Algeria,1992,-0.232
Algeria,1993,0.645
Algeria,1994,0.83
Algeria,1995,0.687
Algeria,1996,0.923
Algeria,1997,1.113
Algeria,1998,1.156
Algeria,1999,1.502
Algeria,2000,0.862
Algeria,2001,1.895
Algeria,2002,1.291
Algeria,2003,1.619
Algeria,2004,1.016
Algeria,2005,1.289
Algeria,2006,1.422
Algeria,2007,1.249
Algeria,2008,1.205
Algeria,2009,0.958
Algeria,2010,2.275
Algeria,2011,1.403
Algeria,2012,1.166
Algeria,2013,1.221
Algeria,2014,1.713
Algeria,2015,1.153
Algeria,2016,1.787
Algeria,2017,1.533
Algeria,2018,1.231
Algeria,2019,1.107
Algeria,2020,1.905
Algeria,2021,2.36
Algeria,2022,1.776
Algeria,2023,2.274
American Samoa,1961,0.121
American Samoa,1962,0
American Samoa,1963,0.211
American Samoa,1964,-0.089
American Samoa,1965,-0.595
American Samoa,1966,0.129
American Samoa,1967,-0.387
American Samoa,1968,-0.185
American Samoa,1969,0.145
American Samoa,1970,-0.034
American Samoa,1971,-0.42
American Samoa,1972,-0.056
American Samoa,1973,0.33
American Samoa,1974,-0.3
American Samoa,1975,-0.11
American Samoa,1976,-0.169
American Samoa,1977,0.157
American Samoa,1978,0.093
American Samoa,1979,0.342
American Samoa,1980,0.344
American Samoa,1981,0.165
American Samoa,1982,0.288
American Samoa,1983,0.309
American Samoa,1984,0.257
American Samoa,1985,0.235
American Samoa,1986,0.375
American Samoa,1987,0.333
American Samoa,1988,0.51
American Samoa,1989,0.167
American Samoa,1990,0.52
American Samoa,1991,0.677
American Samoa,1992,0.335
American Samoa,1993,-0.092
American Samoa,1994,0.141
American Samoa,1995,0.732
American Samoa,1996,0.787
American Samoa,1997,NaN
American Samoa,1998,NaN
American Samoa,1999,0.24
American Samoa,2000,0.604
American Samoa,2001,0.882
American Samoa,2002,1.13
American Samoa,2003,0.712
American Samoa,2004,0.244
American Samoa,2005,0.878
American Samoa,2006,0.48
American Samoa,2007,0.928
American Samoa,2008,0.498
American Samoa,2009,NaN
American Samoa,2010,1.131
American Samoa,2011,0.681
American Samoa,2012,0.72
American Samoa,2013,1.012
American Samoa,2014,0.84
American Samoa,2015,0.679
American Samoa,2016,1.209
American Samoa,2017,1.105
American Samoa,2018,0.859
